,label
image_333,1
image_334,1
image_338,1
image_339,1
image_342,1
image_345,1
image_346,1
image_348,1
image_349,1
image_350,1
image_351,1
image_352,1
image_353,1
image_354,1
image_355,1
image_356,1
image_357,1
image_361,1
image_363,1
image_364,1
image_366,1
image_370,1
image_371,1
image_373,1
image_374,1
image_375,1
image_377,1
image_378,1
image_379,1
image_382,1
image_384,1
image_386,1
image_388,1
image_389,1
image_391,1
image_392,0
image_394,1
image_395,1
image_396,1
image_397,1
image_407,1
image_409,1
image_410,1
image_412,1
image_413,1
image_415,1
image_418,1
image_419,1
image_422,1
image_424,1
image_427,1
image_428,0
image_429,1
image_430,1
image_431,1
image_434,1
image_435,1
image_439,1
image_440,1
image_441,1
image_444,1
image_447,1
image_449,1
image_452,1
image_454,1
image_455,1
image_457,1
image_458,1
image_459,1
image_463,1
image_464,1
image_466,1
image_467,1
image_468,1
image_469,1
image_470,1
image_471,0
image_472,1
image_473,1
image_474,1
image_475,1
image_480,1
image_481,1
image_482,1
image_484,1
image_486,1
image_487,1
image_489,1
image_490,1
image_492,1
image_493,1
image_495,1
image_496,1
image_497,1
image_502,1
image_504,1
image_505,0
image_506,1
image_507,1
image_510,1
image_512,1
image_518,1
image_522,1
image_523,1
image_525,1
image_526,1
image_534,1
image_537,1
image_538,1
image_539,1
image_547,1
image_548,1
image_551,1
image_554,1
image_555,1
image_557,1
image_559,1
image_562,1
image_563,1
image_565,1
image_567,1
image_568,1
image_569,0
image_571,1
image_574,1
image_575,1
image_576,1
image_579,1
image_580,1
image_581,1
image_582,1
image_584,1
image_585,1
image_586,1
image_589,1
image_595,1
image_596,1
image_599,1
image_601,1
image_604,1
image_605,1
image_606,1
image_608,1
image_611,1
image_613,1
image_615,1
image_616,1
image_617,1
image_618,1
image_619,1
image_620,1
image_624,1
image_627,1
image_628,1
image_630,1
image_631,1
image_632,1
image_633,1
image_635,1
image_642,1
image_644,1
image_646,1
image_647,1
image_648,1
image_650,1
image_652,1
image_654,1
image_656,1
image_658,1
image_659,1
image_660,1
image_662,1
image_663,1
image_665,1
image_671,1
image_673,1
image_674,1
image_677,1
image_681,1
image_682,1
image_687,1
image_689,1
image_693,1
image_694,1
image_700,0
image_701,1
image_716,1
image_717,1
image_720,1
image_722,1
image_723,1
image_724,0
image_725,1
image_727,1
image_728,1
image_732,1
image_733,1
image_734,1
image_735,1
image_736,1
image_737,1
image_738,1
image_743,1
image_744,1
image_745,1
image_748,1
image_749,1
image_750,1
image_752,1
image_754,1
image_755,1
image_756,1
image_759,1
image_760,1
image_762,1
image_763,1
image_765,0
image_766,1
image_767,0
image_768,1
image_771,1
image_772,1
image_773,1
image_774,1
image_776,1
image_779,1
image_780,1
image_785,1
image_787,1
image_791,1
image_795,1
image_796,1
image_798,1
image_799,1
image_802,1
image_806,1
image_807,1
image_808,1
image_809,1
image_811,1
image_812,1
image_813,1
image_814,1
image_817,1
image_818,0
image_820,1
image_822,1
image_823,1
image_824,1
image_825,1
image_828,0
image_829,1
image_830,1
image_835,1
image_838,1
image_839,1
image_842,1
image_843,1
image_846,1
image_847,1
image_848,1
image_851,1
image_853,1
image_854,1
image_855,1
image_856,1
image_858,1
image_860,1
image_861,1
image_864,1
image_865,1
image_866,1
image_867,1
image_868,1
image_870,1
image_874,1
image_875,1
image_876,1
image_877,1
image_878,1
image_881,1
image_882,1
image_883,1
image_884,1
image_885,1
image_889,1
image_892,1
image_895,1
image_899,1
image_900,1
image_901,1
image_902,1
image_907,1
image_911,1
image_912,1
image_913,1
image_914,1
image_919,1
image_920,1
image_922,1
image_923,1
image_924,1
image_929,1
image_935,1
image_937,1
image_938,1
image_941,1
image_943,1
image_944,1
image_950,1
image_951,1
image_958,1
image_961,1
image_964,1
image_967,1
image_972,1
image_977,1
image_981,1
image_983,1
image_984,1
image_986,1
image_988,1
image_989,1
image_991,1
image_992,1
image_994,1
image_996,1
image_997,1
image_998,1
image_999,1
image_1001,1
image_1003,0
image_1004,0
image_1006,0
image_1007,0
image_1008,0
image_1009,1
image_1010,0
image_1013,1
image_1014,0
image_1015,0
image_1016,1
image_1017,0
image_1018,0
image_1020,1
image_1021,1
image_1022,1
image_1027,1
image_1034,0
image_1036,1
image_1038,1
image_1039,1
image_1040,1
image_1041,1
image_1042,1
image_1043,1
image_1044,1
image_1050,1
image_1054,1
image_1055,1
image_1056,1
image_1058,1
image_1059,1
image_1062,0
image_1063,1
image_1064,1
image_1065,1
image_1068,1
image_1072,1
image_1074,1
image_1075,0
image_1077,1
image_1079,1
image_1080,1
image_1081,1
image_1082,1
image_1083,0
image_1086,0
image_1089,0
image_1090,0
image_1092,1
image_1095,1
image_1096,0
image_1100,1
image_1101,1
image_1102,1
image_1111,0
image_1114,1
image_1115,1
image_1118,1
image_1123,1
image_1124,1
image_1125,0
image_1126,1
image_1127,1
image_1128,0
image_1133,0
image_1140,0
image_1141,0
image_1144,1
image_1145,1
image_1147,1
image_1150,1
image_1152,0
image_1154,1
image_1155,1
image_1156,1
image_1157,1
image_1158,1
image_1159,1
image_1160,1
image_1161,1
image_1164,1
image_1165,1
image_1166,1
image_1168,1
image_1172,1
image_1174,1
image_1175,1
image_1176,0
image_1177,1
image_1181,0
image_1183,1
image_1184,1
image_1185,1
image_1186,1
image_1188,1
image_1189,0
image_1190,1
image_1191,0
image_1192,1
image_1196,0
image_1197,0
image_1201,0
image_1203,1
image_1204,1
image_1207,0
image_1209,1
image_1211,0
image_1212,1
image_1213,0
image_1214,1
image_1216,1
image_1218,1
image_1220,1
image_1221,1
image_1226,1
image_1227,1
image_1229,1
image_1230,1
image_1232,1
image_1233,1
image_1235,1
image_1238,1
image_1242,0
image_1243,1
image_1245,0
image_1249,1
image_1250,1
image_1251,1
image_1253,0
image_1254,1
image_1255,1
image_1256,1
image_1257,1
image_1258,1
image_1259,1
image_1260,0
image_1261,1
image_1263,1
image_1265,1
image_1266,1
image_1269,1
image_1270,1
image_1271,0
image_1272,1
image_1276,1
image_1277,0
image_1278,1
image_1279,1
image_1283,1
image_1284,0
image_1287,1
image_1288,1
image_1289,1
image_1291,1
image_1294,1
image_1296,1
image_1297,0
image_1300,1
image_1301,1
image_1305,1
image_1306,1
image_1307,0
image_1308,1
image_1310,1
image_1311,0
image_1313,1
image_1314,0
image_1315,1
image_1316,1
image_1320,1
image_1322,1
image_1323,1
image_1325,0
image_1327,1
image_1328,1
image_1330,1
image_1331,0
image_1332,1
image_1334,1
image_1336,1
image_1340,0
image_1342,1
image_1344,1
image_1347,0
image_1351,1
image_1352,1
image_1353,1
image_1355,1
image_1356,1
image_1357,1
image_1358,1
image_1362,0
image_1363,0
image_1364,1
image_1365,1
image_1367,1
image_1374,1
image_1375,1
image_1376,1
image_1378,1
image_1379,0
image_1386,0
image_1388,1
image_1390,1
image_1391,1
image_1392,1
image_1397,0
image_1398,1
image_1401,1
image_1402,1
image_1403,0
image_1408,0
image_1409,1
image_1410,1
image_1415,0
image_1419,1
image_1422,1
image_1426,1
image_1429,1
image_1432,1
image_1433,1
image_1434,1
image_1435,1
image_1436,1
image_1437,1
image_1438,1
image_1439,1
image_1440,0
image_1441,1
image_1442,1
image_1447,1
image_1448,1
image_1451,1
image_1453,0
image_1455,0
image_1456,1
image_1458,1
image_1459,0
image_1460,0
image_1461,0
image_1462,1
image_1465,0
image_1466,1
image_1467,1
image_1469,1
image_1472,1
image_1474,1
image_1476,0
image_1478,1
image_1481,1
image_1485,1
image_1487,1
image_1489,1
image_1490,1
image_1492,1
image_1493,1
image_1495,1
image_1497,1
image_1504,0
image_1505,1
image_1513,1
image_1515,1
image_1516,1
image_1517,1
image_1518,1
image_1520,1
image_1522,0
image_1523,1
image_1525,1
image_1526,1
image_1527,0
image_1528,1
image_1530,1
image_1531,1
image_1533,1
image_1534,1
image_1537,1
image_1538,1
image_1539,1
image_1542,1
image_1544,0
image_1548,1
image_1549,1
image_1552,1
image_1556,0
image_1557,1
image_1558,0
image_1559,1
image_1560,1
image_1561,1
image_1562,1
image_1564,0
image_1565,1
image_1566,1
image_1568,1
image_1574,1
image_1577,1
image_1578,1
image_1579,1
image_1582,1
image_1583,1
image_1584,1
image_1586,1
image_1588,0
image_1589,1
image_1594,1
image_1599,0
image_1600,0
image_1601,0
image_1602,0
image_1603,1
image_1604,1
image_1610,1
image_1611,0
image_1613,1
image_1614,1
image_1615,0
image_1618,0
image_1619,1
image_1621,1
image_1623,1
image_1627,1
image_1629,0
image_1631,1
image_1632,1
image_1637,1
image_1641,1
image_1643,1
image_1647,1
image_1649,1
image_1652,1
image_1655,1
image_1658,0
image_1659,1
image_1660,1
image_1661,1
image_1662,1
image_1667,1
image_1669,1
image_1670,1
image_1672,1
image_1675,1
image_1676,1
image_1677,0
image_1678,1
image_1680,1
image_1682,1
image_1686,1
image_1688,1
image_1689,0
image_1696,1
image_1703,1
image_1704,1
image_1706,1
image_1707,0
image_1709,1
image_1710,1
image_1712,1
image_1713,1
image_1715,1
image_1716,1
image_1719,1
image_1721,1
image_1722,1
image_1726,1
image_1727,1
image_1728,1
image_1730,0
image_1731,1
image_1732,0
image_1733,1
image_1734,1
image_1736,1
image_1737,1
image_1740,0
image_1741,1
image_1743,1
image_1744,0
image_1745,0
image_1746,1
image_1747,1
image_1748,1
image_1752,1
image_1753,1
image_1754,1
image_1755,1
image_1756,0
image_1757,0
image_1760,1
image_1761,1
image_1763,0
image_1765,1
image_1766,1
image_1768,1
image_1769,0
image_1771,0
image_1772,1
image_1773,1
image_1774,1
image_1776,0
image_1780,1
image_1781,1
image_1784,1
image_1786,1
image_1787,0
image_1788,1
image_1789,0
image_1792,1
image_1799,1
image_1801,0
image_1802,1
image_1803,1
image_1804,1
image_1805,1
image_1806,1
image_1812,1
image_1813,1
image_1817,1
image_1822,1
image_1826,1
image_1827,1
image_1828,1
image_1833,1
image_1834,1
image_1835,0
image_1838,1
image_1843,1
image_1845,1
image_1846,1
image_1847,1
image_1848,1
image_1851,1
image_1852,1
image_1854,1
image_1858,1
image_1860,1
image_1861,1
image_1864,1
image_1865,1
image_1868,1
image_1869,1
image_1870,1
image_1871,0
image_1874,1
image_1876,0
image_1880,1
image_1881,1
image_1882,1
image_1885,1
image_1886,0
image_1888,1
image_1891,1
image_1892,1
image_1894,1
image_1896,1
image_1898,0
image_1900,1
image_1901,1
image_1902,1
image_1907,1
image_1908,1
image_1909,1
image_1910,1
image_1912,1
image_1914,1
image_1915,1
image_1920,1
image_1921,1
image_1924,1
image_1926,0
image_1927,1
image_1928,1
image_1931,1
image_1933,1
image_1934,1
image_1935,1
image_1936,0
image_1942,1
image_1943,1
image_1946,0
image_1947,1
image_1948,1
image_1950,0
image_1953,1
image_1954,1
image_1955,1
image_1956,1
image_1958,1
image_1959,0
image_1960,1
image_1963,0
image_1964,1
image_1967,1
image_1968,0
image_1969,1
image_1971,1
image_1974,1
image_1977,1
image_1979,0
image_1983,1
image_1984,1
image_1986,1
image_1988,1
image_1989,1
image_1990,1
image_1992,1
image_1994,1
image_1995,1
image_1998,1
image_2001,1
image_2002,1
image_2004,0
image_2005,1
image_2006,1
image_2007,1
image_2008,1
image_2013,1
image_2014,1
image_2016,1
image_2018,1
image_2023,1
image_2027,1
image_2030,1
image_2036,0
image_2037,0
image_2039,1
image_2042,1
image_2045,0
image_2046,1
image_2052,1
image_2057,1
image_2058,0
image_2059,0
image_2061,1
image_2062,1
image_2063,1
image_2064,0
image_2067,1
image_2068,0
image_2069,1
image_2070,1
image_2071,1
image_2072,1
image_2073,1
image_2075,1
image_2081,1
image_2084,0
image_2085,1
image_2086,1
image_2087,0
image_2088,1
image_2089,1
image_2090,1
image_2091,1
image_2094,1
image_2095,1
image_2096,1
image_2097,1
image_2098,1
image_2099,1
image_2102,1
image_2107,1
image_2108,0
image_2109,1
image_2113,0
image_2115,1
image_2116,1
image_2117,0
image_2118,0
image_2125,1
image_2126,1
image_2127,1
image_2128,0
image_2129,1
image_2130,1
image_2131,1
image_2133,0
image_2138,1
image_2140,1
image_2141,1
image_2142,1
image_2144,1
image_2147,0
image_2149,1
image_2151,1
image_2152,0
image_2154,1
image_2156,1
image_2157,0
image_2158,1
image_2159,1
image_2164,0
image_2165,1
image_2167,1
image_2168,1
image_2170,1
image_2171,0
image_2172,1
image_2175,1
image_2177,1
image_2179,1
image_2182,1
image_2183,1
image_2184,0
image_2185,1
image_2186,1
image_2189,1
image_2190,1
image_2195,0
image_2197,1
image_2199,0
image_2200,1
image_2202,1
image_2205,1
image_2208,1
image_2210,1
image_2211,1
image_2214,1
image_2215,1
image_2216,1
image_2218,1
image_2224,0
image_2225,1
image_2226,1
image_2227,1
image_2228,1
image_2230,1
image_2232,1
image_2233,1
image_2234,1
image_2237,0
image_2241,0
image_2243,1
image_2246,0
image_2247,1
image_2249,0
image_2252,1
image_2253,0
image_2256,0
image_2257,0
image_2258,1
image_2261,1
image_2262,1
image_2264,1
image_2267,1
image_2269,0
image_2270,0
image_2271,0
image_2272,0
image_2273,1
image_2274,1
image_2275,0
image_2277,0
image_2278,1
image_2279,1
image_2282,0
image_2283,0
image_2286,0
image_2288,1
image_2291,1
image_2293,1
image_2294,0
image_2295,1
image_2298,1
image_2300,0
image_2302,1
image_2303,0
image_2305,0
image_2306,1
image_2308,1
image_2311,0
image_2312,1
image_2313,1
image_2315,1
image_2317,1
image_2319,1
image_2320,1
image_2321,1
image_2324,1
image_2325,1
image_2327,1
image_2328,0
image_2329,1
image_2330,1
image_2334,0
image_2335,1
image_2338,0
image_2339,1
image_2340,1
image_2346,0
image_2348,1
image_2349,0
image_2350,1
image_2351,1
image_2353,1
image_2354,1
image_2355,1
image_2357,1
image_2358,1
image_2359,0
image_2363,0
image_2365,0
image_2366,0
image_2369,0
image_2370,1
image_2371,0
image_2373,0
image_2375,0
image_2377,1
image_2378,0
image_2380,0
image_2381,1
image_2382,0
image_2384,0
image_2388,0
image_2390,1
image_2391,1
image_2395,1
image_2397,1
image_2400,1
image_2404,1
image_2405,1
image_2406,1
image_2408,1
image_2409,1
image_2410,1
image_2415,1
image_2417,1
image_2419,1
image_2420,1
image_2421,1
image_2423,1
image_2424,0
image_2427,1
image_2429,1
image_2430,1
image_2432,1
image_2434,1
image_2436,1
image_2443,1
image_2444,0
image_2445,1
image_2448,0
image_2452,0
image_2454,0
image_2458,0
image_2461,1
image_2462,1
image_2464,1
image_2466,0
image_2467,0
image_2470,1
image_2471,1
image_2472,1
image_2475,1
image_2478,1
image_2479,0
image_2482,1
image_2483,1
image_2485,1
image_2486,1
image_2487,1
image_2488,1
image_2489,1
image_2491,0
image_2495,0
image_2496,1
image_2499,1
image_2500,0
image_2506,0
image_2509,0
image_2511,0
image_2515,0
image_2520,0
image_2521,0
image_2528,0
image_2529,0
image_2531,1
image_2532,0
image_2533,1
image_2535,0
image_2538,1
image_2541,0
image_2542,1
image_2543,0
image_2544,1
image_2545,0
image_2547,1
image_2553,1
image_2554,1
image_2555,1
image_2556,0
image_2559,1
image_2560,0
image_2561,0
image_2564,0
image_2575,1
image_2577,1
image_2579,0
image_2581,1
image_2583,0
image_2585,0
image_2591,0
image_2593,0
image_2595,1
image_2596,1
image_2598,0
image_2601,0
image_2602,0
image_2603,0
image_2605,0
image_2606,0
image_2609,0
image_2613,0
image_2614,0
image_2615,1
image_2616,0
image_2617,0
image_2619,0
image_2620,0
image_2621,1
image_2622,0
image_2625,1
image_2626,0
image_2629,0
image_2630,1
image_2632,1
image_2633,0
image_2635,0
image_2637,0
image_2640,0
image_2641,1
image_2645,0
image_2648,0
image_2651,1
image_2652,1
image_2653,1
image_2654,0
image_2661,1
image_2663,0
image_2670,0
image_2672,1
image_2675,0
image_2676,1
image_2678,0
image_2681,1
image_2684,1
image_2685,1
image_2686,0
image_2687,1
image_2689,0
image_2690,1
image_2691,1
image_2692,1
image_2693,0
image_2694,1
image_2695,1
image_2696,1
image_2698,0
image_2701,0
image_2703,0
image_2704,0
image_2706,1
image_2709,1
image_2711,1
image_2712,0
image_2713,1
image_2718,0
image_2720,1
image_2723,0
image_2725,0
image_2726,0
image_2727,1
image_2731,0
image_2733,1
image_2734,0
image_2735,0
image_2736,1
image_2737,0
image_2740,0
image_2742,1
image_2743,1
image_2744,0
image_2746,0
image_2753,0
image_2754,0
image_2755,1
image_2756,0
image_2760,1
image_2762,1
image_2764,0
image_2768,1
image_2772,1
image_2774,1
image_2775,1
image_2777,1
image_2778,1
image_2779,0
image_2780,0
image_2781,0
image_2785,0
image_2786,1
image_2787,1
image_2789,0
image_2790,0
image_2791,0
image_2792,1
image_2793,1
image_2794,1
image_2795,1
image_2797,1
image_2798,1
image_2799,0
image_2802,1
image_2803,1
image_2806,1
image_2807,0
image_2808,1
image_2815,0
image_2816,0
image_2818,0
image_2819,1
image_2822,1
image_2823,1
image_2825,0
image_2827,1
image_2828,0
image_2831,1
image_2833,0
image_2835,1
image_2838,0
image_2840,0
image_2841,1
image_2843,1
image_2844,1
image_2846,0
image_2848,1
image_2853,0
image_2857,0
image_2859,0
image_2861,0
image_2864,1
image_2867,1
image_2871,1
image_2872,1
image_2875,1
image_2878,0
image_2883,1
image_2884,1
image_2886,1
image_2891,0
image_2892,0
image_2893,1
image_2894,1
image_2897,1
image_2899,0
image_2901,0
image_2904,0
image_2905,1
image_2907,0
image_2914,0
image_2915,1
image_2916,0
image_2918,0
image_2921,1
image_2922,0
image_2923,1
image_2925,0
image_2926,1
image_2927,0
image_2928,0
image_2930,0
image_2931,1
image_2932,0
image_2937,0
image_2938,0
image_2939,0
image_2941,0
image_2942,1
image_2947,0
image_2948,0
image_2949,1
image_2951,0
image_2953,1
image_2958,0
image_2959,1
image_2960,1
image_2961,0
image_2963,1
image_2965,0
image_2967,1
image_2968,0
image_2969,1
image_2970,1
image_2973,0
image_2974,0
image_2975,0
image_2976,1
image_2977,0
image_2978,1
image_2979,1
image_2980,1
image_2981,0
image_2982,0
image_2984,0
image_2988,1
image_2990,0
image_2996,1
image_2998,1
image_2999,0
image_3001,1
image_3002,1
image_3003,1
image_3006,1
image_3009,1
image_3012,1
image_3016,1
image_3017,1
image_3019,1
image_3020,1
image_3022,1
image_3023,1
image_3024,0
image_3026,0
image_3027,1
image_3028,1
image_3029,1
image_3031,1
image_3032,1
image_3035,1
image_3036,1
image_3038,1
image_3039,1
image_3040,1
image_3041,1
image_3043,0
image_3044,1
image_3045,0
image_3046,1
image_3047,1
image_3050,1
image_3051,1
image_3052,1
image_3053,1
image_3055,1
image_3056,0
image_3057,1
image_3059,0
image_3060,0
image_3061,1
image_3062,1
image_3063,1
image_3067,1
image_3071,1
image_3073,1
image_3074,1
image_3075,1
image_3077,1
image_3080,1
image_3081,0
image_3083,1
image_3084,1
image_3085,0
image_3088,1
image_3090,1
image_3091,1
image_3095,1
image_3098,1
image_3100,1
image_3102,1
image_3108,1
image_3112,1
image_3114,1
image_3117,1
image_3119,1
image_3125,1
image_3127,1
image_3128,1
image_3129,1
image_3131,0
image_3133,1
image_3135,1
image_3137,1
image_3138,1
image_3139,1
image_3141,1
image_3144,1
image_3145,1
image_3148,1
image_3149,1
image_3150,1
image_3161,1
image_3163,1
image_3170,1
image_3171,1
image_3173,1
image_3175,1
image_3177,1
image_3178,1
image_3182,1
image_3183,1
image_3187,1
image_3190,0
image_3191,1
image_3192,1
image_3193,0
image_3194,1
image_3197,1
image_3199,1
image_3200,1
image_3204,0
image_3207,1
image_3210,1
image_3214,1
image_3216,1
image_3218,1
image_3219,1
image_3223,1
image_3224,1
image_3226,1
image_3227,1
image_3231,1
image_3233,1
image_3236,0
image_3239,1
image_3240,1
image_3243,1
image_3244,1
image_3245,1
image_3246,1
image_3248,0
image_3249,1
image_3250,1
image_3252,1
image_3254,1
image_3257,1
image_3260,1
image_3262,1
image_3264,1
image_3265,1
image_3267,1
image_3270,1
image_3271,1
image_3272,1
image_3275,1
image_3276,0
image_3278,1
image_3279,1
image_3281,1
image_3282,1
image_3283,1
image_3284,1
image_3285,1
image_3287,1
image_3288,1
image_3291,1
image_3292,1
image_3293,0
image_3294,1
image_3295,1
image_3296,1
image_3297,1
image_3298,1
image_3299,1
image_3301,1
image_3305,1
image_3307,1
image_3308,0
image_3310,1
image_3311,1
image_3315,1
image_3317,1
image_3319,1
image_3320,1
image_3321,1
image_3324,1
image_3325,1
image_3326,1
image_3328,0
image_3330,1
image_3332,0
image_3338,0
image_3340,1
image_3341,0
image_3342,1
image_3344,1
image_3347,1
image_3349,1
image_3351,0
image_3352,1
image_3354,0
image_3355,1
image_3356,1
image_3358,1
image_3361,1
image_3363,1
image_3364,1
image_3368,1
image_3369,0
image_3373,0
image_3374,1
image_3375,0
image_3376,1
image_3377,1
image_3379,1
image_3380,1
image_3381,1
image_3382,0
image_3384,1
image_3387,1
image_3388,1
image_3389,1
image_3391,1
image_3392,1
image_3393,1
image_3396,1
image_3398,1
image_3401,1
image_3402,1
image_3403,1
image_3405,1
image_3407,1
image_3408,1
image_3410,1
image_3414,1
image_3415,1
image_3416,1
image_3419,1
image_3420,0
image_3421,1
image_3422,1
image_3423,1
image_3424,1
image_3437,1
image_3438,1
image_3439,1
image_3441,0
image_3442,1
image_3444,1
image_3446,1
image_3449,1
image_3452,1
image_3457,0
image_3458,1
image_3459,1
image_3460,1
image_3461,1
image_3463,1
image_3464,1
image_3467,1
image_3470,1
image_3471,1
image_3472,1
image_3473,1
image_3474,1
image_3477,1
image_3478,1
image_3481,1
image_3482,0
image_3484,1
image_3487,1
image_3493,1
image_3494,1
image_3495,1
image_3497,0
image_3499,1
image_3500,1
image_3501,0
image_3502,1
image_3503,0
image_3508,1
image_3509,1
image_3512,1
image_3513,1
image_3519,1
image_3520,1
image_3523,1
image_3526,1
image_3527,1
image_3530,1
image_3531,1
image_3532,1
image_3535,1
image_3537,0
image_3542,1
image_3544,1
image_3546,0
image_3548,1
image_3549,1
image_3552,1
image_3556,1
image_3557,1
image_3558,1
image_3560,1
image_3561,1
image_3562,0
image_3563,0
image_3564,1
image_3566,1
image_3568,1
image_3570,0
image_3572,1
image_3574,1
image_3576,1
image_3579,1
image_3586,1
image_3587,1
image_3591,1
image_3593,1
image_3595,0
image_3598,1
image_3602,1
image_3603,1
image_3604,1
image_3606,1
image_3607,1
image_3609,1
image_3610,1
image_3612,1
image_3614,1
image_3616,0
image_3618,1
image_3620,1
image_3623,1
image_3625,0
image_3626,1
image_3631,1
image_3633,1
image_3634,0
image_3636,1
image_3637,1
image_3640,1
image_3643,1
image_3646,1
image_3652,1
image_3653,1
image_3655,1
image_3656,1
image_3658,1
image_3660,0
image_3661,1
image_3666,1
image_3669,1
image_3672,1
image_3673,1
image_3675,1
image_3676,1
image_3678,1
image_3683,0
image_3684,1
image_3686,1
image_3687,1
image_3688,1
image_3689,1
image_3691,1
image_3692,0
image_3695,1
image_3696,1
image_3698,1
image_3699,1
image_3702,1
image_3703,1
image_3710,1
image_3712,1
image_3715,1
image_3716,1
image_3718,1
image_3719,1
image_3720,1
image_3721,1
image_3727,1
image_3728,1
image_3729,1
image_3730,1
image_3733,1
image_3734,1
image_3736,0
image_3738,0
image_3739,1
image_3744,1
image_3745,1
image_3747,1
image_3751,1
image_3756,1
image_3762,1
image_3764,0
image_3765,1
image_3766,1
image_3770,1
image_3777,1
image_3778,1
image_3779,1
image_3780,1
image_3781,1
image_3784,1
image_3786,1
image_3788,1
image_3790,1
image_3791,1
image_3793,1
image_3797,1
image_3798,1
image_3799,1
image_3800,1
image_3802,1
image_3804,1
image_3806,1
image_3810,1
image_3811,1
image_3814,1
image_3815,1
image_3818,1
image_3820,1
image_3822,1
image_3823,0
image_3824,1
image_3825,1
image_3827,1
image_3830,0
image_3832,0
image_3833,0
image_3835,1
image_3837,1
image_3839,1
image_3840,1
image_3844,1
image_3845,1
image_3848,1
image_3853,0
image_3855,1
image_3858,1
image_3861,1
image_3862,1
image_3863,1
image_3864,1
image_3868,1
image_3871,1
image_3874,1
image_3876,1
image_3877,0
image_3878,1
image_3879,1
image_3880,1
image_3881,1
image_3885,1
image_3887,0
image_3890,1
image_3893,1
image_3896,1
image_3897,1
image_3898,1
image_3899,1
image_3901,1
image_3902,0
image_3904,1
image_3905,1
image_3907,1
image_3909,0
image_3911,1
image_3912,1
image_3913,1
image_3914,1
image_3918,1
image_3922,1
image_3923,1
image_3924,0
image_3927,1
image_3928,1
image_3929,1
image_3931,1
image_3932,0
image_3933,1
image_3934,1
image_3936,1
image_3937,1
image_3939,1
image_3940,0
image_3941,1
image_3942,0
image_3945,1
image_3946,1
image_3947,0
image_3948,1
image_3954,1
image_3955,0
image_3956,1
image_3957,1
image_3958,1
image_3959,1
image_3961,1
image_3966,0
image_3968,1
image_3970,1
image_3971,1
image_3972,0
image_3973,1
image_3975,1
image_3978,1
image_3981,1
image_3987,1
image_3988,1
image_3990,1
image_3991,1
image_3992,1
image_3994,1
image_3995,1
image_3996,1
image_3997,1
image_3998,1
image_3999,1
image_4000,1
image_4001,1
image_4003,1
image_4005,1
image_4008,1
image_4011,1
image_4013,1
image_4014,1
image_4015,1
image_4016,1
image_4018,1
image_4019,1
image_4023,1
image_4025,1
image_4026,0
image_4029,1
image_4032,0
image_4034,1
image_4036,1
image_4037,1
image_4039,1
image_4041,0
image_4042,1
image_4043,1
image_4044,1
image_4045,1
image_4047,1
image_4054,1
image_4056,1
image_4057,1
image_4059,1
image_4064,1
image_4068,1
image_4070,1
image_4073,1
image_4074,1
image_4080,1
image_4081,1
image_4086,1
image_4089,1
image_4092,0
image_4093,1
image_4098,1
image_4101,1
image_4103,1
image_4104,1
image_4109,1
image_4112,1
image_4113,1
image_4115,1
image_4118,1
image_4122,1
image_4123,1
image_4124,1
image_4126,1
image_4128,1
image_4131,1
